source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence
Aakanksha Bhargava,Person,LEADS,PM Relocations Pvt. Ltd.,Company,https://www.timesnownews.com/technology-science/this-company-is-combining-logistics-with-technology-to-bring-seamless-services-to-its-customers-aims-to-target-rs-350-crore-in-revenue-this-year-article-99409274::c0000,1527,2023-04-12,Aakanksha Bhargava CEO PM Relocations Pvt. Ltd.,1.0
S. Steven Salar,Person,LEADS,Exdion Solutions,Company,https://www.insurancebusinessmag.com/us/news/technology/insurtech-provider-taps-insurance-ops-head-449877.aspx::c0000,1533,2023-06-20,S. Steven Salar ... as the president and head of insurance operations,1.0
Evolve Information Solutions,Company,PARTNERED_WITH,Priority Software,Company,https://www.tmcnet.com/usubmit/2023/09/25/9886746.htm::c0000,1538,2023-09-25,Evolve Information Solutions Announces New Reseller Agreement with Priority Software,1.0
Yotta,Company,PARTNERED_WITH,Sunstone,Company,https://pv-magazine-usa.com/2023/04/25/yotta-and-sunstone-partner-to-offer-commercial-storage-solutions/::c0000,1731,2023-04-25,Yotta and Sunstone partner to offer commercial storage solutions,1.0
Signet FCU,Company,PARTNERED_WITH,OMNICOMMANDER,Company,https://it.tmcnet.com/news/2023/02/23/9765450.htm::c0000,1733,2023-02-23,Signet FCU and OMNICOMMANDER® Renew Their Partnership,1.0
OMNICOMMANDER,Company,DEVELOPED,Digital Branch,Technology,https://it.tmcnet.com/news/2023/02/23/9765450.htm::c0000,1733,2023-02-23,OMNICOMMANDER provides award-winning Digital Branch designs,1.0
Technical Safety Services,Company,ACQUIRED,Precision Air Technology,Company,https://www.businesswire.com/news/home/20230412005287/en/Levine-Leichtman-Capital-Partners-Portfolio-Company-Technical-Safety-Services-Acquires-Precision-Air-Technology::c0000,1744,2023-04-12,Technical Safety Services has acquired Precision Air Technology,1.0
Technical Safety Services,Company,WORKED_AT,Levine Leichtman Capital Partners,Company,https://www.businesswire.com/news/home/20230412005287/en/Levine-Leichtman-Capital-Partners-Portfolio-Company-Technical-Safety-Services-Acquires-Precision-Air-Technology::c0000,1744,2023-04-12,Technical Safety Services (“TSS” or the “Company”) a portfolio company of Levine Leichtman Capital Partners,1.0
DWF Labs,Company,INVESTED_IN,Sensorium,Company,https://invezz.com/news/2023/04/06/dwf-labs-backs-the-development-of-sensoriums-web3-platform-with-senso-token-purchase/::c0000,1753,2023-04-06,Sensorium has secured a seven-figure purchase of SENSO tokens from DWF Labs,1.0
Sensorium,Company,DEVELOPED,Sensorium Galaxy,Technology,https://invezz.com/news/2023/04/06/dwf-labs-backs-the-development-of-sensoriums-web3-platform-with-senso-token-purchase/::c0000,1753,2023-04-06,Sensorium the company behind the world’s first AI-driven metaverse Sensorium Galaxy,1.0
StoreDot,Company,PARTNERED_WITH,VinES,Company,https://www.benzinga.com/pressreleases/23/04/n31929755/storedot-partners-with-vines-to-accelerate-the-development-of-extreme-fast-charging-xfc-batteries::c0000,1776,2023-04-21,StoreDot is partnering with VinES to develop XFC battery cells,1.0
StoreDot,Company,DEVELOPED,Extreme Fast Charging (XFC) batteries,Technology,https://www.benzinga.com/pressreleases/23/04/n31929755/storedot-partners-with-vines-to-accelerate-the-development-of-extreme-fast-charging-xfc-batteries::c0000,1776,2023-04-21,StoreDot is partnering with VinES to develop XFC battery cells,1.0
JPMorgan Asset Management,Company,USES,Vestwell's technology,Technology,https://www.americanbanker.com/news/j-p-morgan-chooses-vestwells-technology-for-small-business-401k-services::r01809::c0000,1809,2023-05-12,JPMorgan Asset Management will be using Vestwell's technology to run its Everyday 401(k ...,1.0
Aarul Malviya,Person,FOUNDED,Zamit,Company,https://timesofindia.indiatimes.com/blogs/voices/the-benefits-and-challenges-of-technology-integration-in-the-classroom/::c0000,1845,2023-03-22,Aarul Malviya Founder & founder of Zamit,1.0
Daragh Morrisey,Person,LEADS,AI at Microsoft,Technology,https://www.technologyrecord.com/article/sibos-2023-financial-services-and-technology-leaders-focus-on-the-power-of-ai::c0000,1853,2023-09-18,Daragh Morrisey director of AI at Microsoft worldwide,0.9
Microsoft,Company,USES,AI,Technology,https://www.technologyrecord.com/article/sibos-2023-financial-services-and-technology-leaders-focus-on-the-power-of-ai::c0000,1853,2023-09-18,Daragh Morrisey director of AI at Microsoft worldwide,0.8
Elizabethtown College,Company,USES,KITRO,Technology,https://www.msn.com/en-us/money/careersandeducation/elizabethtown-college-using-ai-technology-to-help-with-food-waste/ar-AA1i0XYY::c0000,1862,2023-10-11,Elizabethtown College is trying to change the narrative when it comes to food waste on its campus and it’s using new technology to achieve that. “We are the first college in the United States to utilize KITRO,0.95
Digi International,Company,DEVELOPED,SkyCloud 23.5 Update,Technology,https://www.iotevolutionworld.com/iot/articles/456177-monitoring-analyzing-controlling-field-data-digi-international-debuts.htm::c0000,1871,2023-06-14,Digi International Debuts SkyCloud 23.5 Update,0.9
5G Home Internet,Technology,USES,Ultra Wideband 5G technology,Technology,https://www.cnet.com/home/internet/what-is-5g-home-internet/::c0000,1878,2023-05-09,service which uses Ultra Wideband 5G technology,0.95
Kotozna Inc.,Company,PARTNERED_WITH,Samoon Information Technology,Company,https://www.japantimes.co.jp/comfacts/77/::c0000,1906,2023-07-19,Kotozna Inc. forms business alliance with Samoon Information Technology,1.0
ENT Partners LLC,Company,ACQUIRED,Southern Indiana ENT & Indianapolis Sinus Center,Company,https://www.joplinglobe.com/region/national_business/ent-partners-announces-acquisition-of-southern-indiana-ent-indianapolis-sinus-center/article_cdcb21dd-a86d-52d2-84ae-71906405b19f.html::c0000,1911,2023-07-26,ENT Partners Announces Acquisition of Southern Indiana ENT & Indianapolis Sinus Center,1.0
G-P,Company,PARTNERED_WITH,UKG,Company,https://www.victoriaadvocate.com/g-p-and-ukg-announce-technology-integration-partnership/article_cc6bb730-67b7-5f17-a78e-676111b5e4df.html::c0000,1922,2023-03-21,G-P and UKG Announce Technology Integration Partnership,1.0
Cathie Wood,Person,LEADS,Tech Stocks,Technology,https://news.yahoo.com/10-tech-stocks-sell-now-200429864.html::c0000,1952,2023-02-14,10 Tech Stocks To Sell Now According to Cathie Wood,0.8
ISG,Company,PARTNERED_WITH,more than 900 clients,Company,https://stockhouse.com/news/press-releases/2023/07/19/australian-firms-embrace-hybrid-clouds-for-transformation::c0000,1965,2023-07-20,A trusted business partner to more than 900 clients,0.9
Aran Azarzar,Person,LEADS,JFrog’s Information Technology organization,Company,https://www.businesswire.com/news/home/20230330005373/en/JFrog-Welcomes-Seasoned-Technology-and-Security-Leader-Aran-Azarzar-as-Chief-Information-Officer::c0000,2042,2023-03-30,Aran Azarzar as Chief Information Officer. In this role Azarzar will lead the strategy and operations for JFrog’s Information Technology organization,1.0
Sojern,Company,PARTNERED_WITH,PUSHTechTM,Company,https://www.exchangewire.com/blog/2023/01/11/sojern-pushtech-collaborate-to-better-support-partners-first-party-data-strategies/::c0000,2072,2023-01-11,Sojern ... and PUSHTechTM ... have announced a new partnership,1.0
Entrepreneur Media Inc.,Company,USES,Websites and Mobile Application,Technology,https://www.entrepreneur.com/terms-of-service::c0000,2186,2023-05-27,Entrepreneur Media Inc. Websites and Mobile Application Terms of Service,0.9
Dragos,Company,DEVELOPED,Dragos Partner Program,Technology,https://www.pharmiweb.com/press-release/2023-06-13/dragos-launches-ot-cyber-industry-s-only-global-partner-program-to-span-technology-services-threat::c0000,2201,2023-06-13,Dragos Launches OT Cyber Industry’s Only Global Partner Program,0.95
Dragos Partner Program,Technology,PARTNERED_WITH,channel partners,Company,https://www.pharmiweb.com/press-release/2023-06-13/dragos-launches-ot-cyber-industry-s-only-global-partner-program-to-span-technology-services-threat::c0000,2201,2023-06-13,The Dragos Partner Program enables channel partners to offer their customers the full range of ICS/OT cybersecurity technology and services,0.9
ChipMixer,Technology,USES,bitcoin,Technology,https://www.hstoday.us/subject-matter-areas/cybersecurity/one-of-the-dark-webs-largest-cryptocurrency-laundromats-taken-down/::c0000,2205,2023-03-20,ChipMixer processed bitcoin,0.9
Heather Ennis,Person,LEADS,Northwest Indiana Forum,Company,https://www.nwitimes.com/business/local/technology-sector-advancing-in-calumet-region/article_fa1b6c46-a0c8-5712-96bd-fb09181eaf6b.html::c0000,2246,2023-03-12,"""Northwest Indiana Forum President and CEO Heather Ennis said""",1.0
Digital Crossroad,Technology,DEVELOPED,Quantum Corridor,Technology,https://www.nwitimes.com/business/local/technology-sector-advancing-in-calumet-region/article_fa1b6c46-a0c8-5712-96bd-fb09181eaf6b.html::c0000,2246,2023-03-12,"""The development of Digital Crossroad and READI projects of the Quantum Corridor""",0.8
READI projects,Technology,DEVELOPED,Quantum Corridor,Technology,https://www.nwitimes.com/business/local/technology-sector-advancing-in-calumet-region/article_fa1b6c46-a0c8-5712-96bd-fb09181eaf6b.html::c0000,2246,2023-03-12,"""The development of Digital Crossroad and READI projects of the Quantum Corridor""",0.8
WebClues Infotech,Company,DEVELOPED,Generative AI Solutions,Technology,https://www.benzinga.com/pressreleases/23/08/34038631/webclues-infotech-leads-the-way-in-generative-ai-solutions-for-business-process-enhancement::c0000,2258,2023-08-25,WebClues Infotech ... has come up as one of the trailblazers in the technology sector,0.7
Cloud 10 Studios,Company,USES,data,Technology,https://technews.tmcnet.com/news/2023/08/31/9873560.htm::c0000,2307,2023-08-31,CLOUD 10 STUDIOS USES DATA TO VISUALIZE THE EFFECTS OF ENVIRONMENTAL CHANGE,1.0
Amazon.com,Company,INVESTED_IN,Ohio,Company,https://www.msn.com/en-us/money/technology/refile-update-1-amazon-cloud-unit-to-invest-nearly-8-billion-in-ohio/ar-AA1d4Z1F::c0000,2321,2023-06-26,Amazon.com's cloud computing division would invest $7.8 billion through 2030 in Ohio,1.0
Tetra Tech,Company,ACQUIRED,application cyber services outfit,Company,https://washingtontechnology.com/companies/2023/01/tetra-tech-acquires-application-cyber-services-outfit/381484/::c0000,2336,2023-01-06,Tetra Tech has acquired a provider of enterprise technology and consulting services to federal agencies,0.9
NCR Corporation,Company,DEVELOPED,enterprise technology,Technology,https://accesswdun.com/article/2023/9/1205387::c0000,2446,2023-09-21,NCR Corporation (NYSE: NCR) a leading enterprise technology provider,0.9
Apple,Company,DEVELOPED,software code for self-driving cars,Technology,https://www.journalgazette.net/news/us-announces-criminal-cases-involving-flow-of-technology-information-to-russia-china-and-iran/article_4e05e2fe-f40a-11ed-9774-d734c8514b80.html::c0000,2460,2023-05-16,Apple's software code for self-driving cars,0.9
Laurie Starcher,Person,USES,smartphone,Technology,https://www.wdef.com/tech-byte-use-tech-to-find-your-dream-home/::c0000,2466,2023-08-25,Laurie Starcher’s smartphone can help you get started looking for your dream home,0.8
AT&T,Company,WORKED_AT,Laurie Starcher,Person,https://www.wdef.com/tech-byte-use-tech-to-find-your-dream-home/::c0000,2466,2023-08-25,AT&T’s Laurie Starcher,0.9
Technology Services Division,Technology,LEADS,modernizing City services,Technology,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/technology-services/::c0000,2470,2023-08-11,Technology Services Division (TSD) provides leadership in modernizing City services,0.7
Technology Services Division,Technology,PARTNERED_WITH,all City divisions,Company,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/technology-services/::c0000,2470,2023-08-11,Technology Services Division partners and collaborates with all City divisions,0.7
Quest Technology Management,Company,ACQUIRED,Lanlogic,Company,https://www.lelezard.com/en/news-20790288.html::c0000,2493,2023-02-23,Quest Technology Management Acquires Lanlogic,1.0
Fidelity National Information Services,Company,DEVELOPED,technology solutions for merchants banks,Technology,https://www.nasdaq.com/articles/baird-maintains-fidelity-national-information-services-fis-outperform-recommendation::c0000,2516,2023-07-03,FIS is a leading provider of technology solutions for merchants banks,0.9
SpaceX,Company,DEVELOPED,recyclable rocket technology,Technology,https://www.inc.com/anis-uzzaman/top-technology-business-trends-for-2023.html::c0000,2536,2023-02-01,SpaceX developed the next generation in recyclable rocket technology,1.0
Fujitsu,Company,USES,Distributed Ledger Technology (DLT),Technology,https://www.investopedia.com/terms/d/distributed-ledger-technology-dlt.asp::c0000,2567,2023-05-31,Fujitsu a global data and information technology company ... As DLT often relies only on an internet connection,0.8
MIT Technology Review,Company,FOUNDED,Massachusetts Institute of Technology,Company,https://www.technologyreview.com/2023/06/05/1073787/proactive-and-predictive-tools-for-transformation/::c0000,2572,2023-06-20,Founded at the Massachusetts Institute of Technology in 1899 MIT Technology Review is,0.9
ISG (Information Services Group),Company,PARTNERED_WITH,more than 900 clients including more than 75 of the world’s top 100 enterprises,Company,https://stockhouse.com/news/press-releases/2023/07/26/more-brazilian-firms-are-turning-to-hybrid-clouds-for-help::c0000,2578,2023-07-26,A trusted business partner to more than 900 clients including more than 75 of the world&CloseCurlyQuote;s top 100 enterprises ISG is committed to,0.85
Andrew Drach,Person,FOUNDED,Solwey Consulting,Company,https://techbullion.com/technology-consulting-and-full-stack-mobile-app-development-interview-with-andrew-drach-ceo-and-co-founder-of-solwey-consulting/::c0000,2587,2022-12-10,Andrew Drach CEO and co-founder of Solwey Consulting,0.95
Olink,Company,DEVELOPED,PEA,Technology,https://www.newswire.ca/news-releases/discovery-life-sciences-launches-world-class-proteomic-services-division-supported-by-leading-technology-partners-875696302.html::c0000,2592,2022-12-14,Olink's PEA is a unique immuno-PCR technology,0.95
Google,Company,DEVELOPED,Tensor Processing Unit,Technology,https://www.digitimes.com/news/a20230619VL203/ai-google-mediatek-tpu.html::c0000,2607,2023-06-19,Google's in-house developed Tensor Processing Unit (TPUs),0.95
Google,Company,PARTNERED_WITH,MediaTek,Company,https://www.digitimes.com/news/a20230619VL203/ai-google-mediatek-tpu.html::c0000,2607,2023-06-19,Google is reportedly cooperating with MediaTek,0.9
Connecticut Innovations,Company,FOUNDED,state-chartered venture capital organization,Company,https://www.nhregister.com/business/article/auditor-report-criticizes-decd-ci-reporting-18287479.php::c0000,2832,2023-08-14,Connecticut Innovations the state-chartered venture capital organization,0.8
Google,Company,DEVELOPED,unknown tracker alerts,Technology,https://indianexpress.com/article/technology/techook/how-to-use-googles-unknown-tracker-alerts-service-on-android-smartphones-8885488/::c0000,2840,2023-08-10,Google has introduced ... “unknown tracker alerts” for all Android smartphones,0.95
unknown tracker alerts,Technology,USES,Android smartphones,Technology,https://indianexpress.com/article/technology/techook/how-to-use-googles-unknown-tracker-alerts-service-on-android-smartphones-8885488/::c0000,2840,2023-08-10,“unknown tracker alerts” for all Android smartphones running ...,0.9
First Citizens Bank,Company,ACQUIRED,Silicon Valley Bank,Company,https://www.newsobserver.com/news/business/article273545395.html::c0000,2846,2023-03-27,Raleigh’s First Citizens Bank will buy Silicon Valley Bank,1.0
CloudNine,Company,PARTNERED_WITH,Integreon,Company,https://www.benzinga.com/pressreleases/23/03/p31386917/cloudnine-and-integreon-partner-to-deliver-efficiency-in-handling-modern-data-in-ediscovery::c0000,2857,2023-03-16,CloudNine and Integreon announced a partnership today,1.0
Staytuned Digital,Company,FOUNDED,Serge Kassardjian,Person,https://www.yahoo.com/entertainment/staytuned-bags-34m-equity-debt-161446016.html::c0000,2877,2023-04-06,co-founder Serge Kassardjian,0.9
Staytuned Digital,Company,DEVELOPED,Salesforce suite for e-commerce,Technology,https://www.yahoo.com/entertainment/staytuned-bags-34m-equity-debt-161446016.html::c0000,2877,2023-04-06,developing a software suite for e-commerce brands with a goal of what co-founder Serge Kassardjian described as “the Salesforce suite for e-commerce stores,0.95
Playtech,Company,INVESTED_IN,NorthStar Gaming,Company,https://technews.tmcnet.com/news/2023/02/13/9759141.htm::c0000,2880,2023-02-13,NorthStar Gaming Announces Strategic Investment from Playtech,0.95
Ravago Americas,Company,ACQUIRED,Polymer Technology & Services,Company,https://www.plasticstoday.com/materials/ravago-americas-acquires-polymer-technology-services::c0000,2894,2023-10-17,Ravago Americas acquires Polymer Technology & Services,1.0
Meta,Company,PARTNERED_WITH,Pelocal Fintech Pvt. Ltd.,Company,https://indianexpress.com/article/technology/tech-news-technology/whatsapp-ticketing-service-delhi-metro-8970121/::c0000,2957,2023-10-07,The service is being rolled out in a collaboration between Meta and its authorised partner Pelocal Fintech Pvt. Ltd.,1.0
WhatsApp,Technology,USES,Meta,Company,https://indianexpress.com/article/technology/tech-news-technology/whatsapp-ticketing-service-delhi-metro-8970121/::c0000,2957,2023-10-07,WhatsApp ticketing service now available across all Delhi NCR metro lines. The service is being rolled out in a collaboration between Meta and its authorised partner Pelocal Fintech Pvt. Ltd.,0.9
Microsoft Copilot,Technology,DEVELOPED,Microsoft,Company,https://www.theverge.com/2023/9/21/23883798/microsoft-copilot-unified-windows-11-apps-launch-date::c0000,3043,2023-09-21,Microsoft’s unified Copilot is coming to Windows Edge and everywhere else,0.9
KPMG,Company,INVESTED_IN,artificial intelligence,Technology,https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/::c0000,3054,2023-07-11,KPMG said on Tuesday it will spend $2 billion on artificial intelligence and cloud services,0.95
KPMG,Company,PARTNERED_WITH,Microsoft,Company,https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/::c0000,3054,2023-07-11,through an expanded partnership with Microsoft,0.9
Burger King,Company,PARTNERED_WITH,PAR Technology,Company,https://restauranttechnologynews.com/2023/10/burger-king-selects-par-technology-as-its-exclusive-point-of-sale-software-and-services-provider-across-north-america/::c0000,3068,2023-10-11,Burger King Selects PAR Technology As Its Exclusive Point of Sale Software and Services Provider Across North America,0.95
Microsoft,Company,USES,tech support,Technology,https://www.foxnews.com/tech/sneaky-legit-way-score-free-virtual-tech-support::c0000,3072,2023-02-18,Tech companies such as Microsoft and Apple offer accessible tech support to their consumers,0.9
Apple,Company,USES,tech support,Technology,https://www.foxnews.com/tech/sneaky-legit-way-score-free-virtual-tech-support::c0000,3072,2023-02-18,Tech companies such as Microsoft and Apple offer accessible tech support to their consumers,0.9
Howard Tullman,Person,LEADS,G2T3V LLC,Company,https://wgnradio.com/lisa-dent/howard-tullman-on-why-you-shouldnt-gamble-on-tech-security/::c0000,3082,2023-09-26,Howard Tullman general managing partner for G2T3V LLC,0.95
Howard Tullman,Person,LEADS,Chicago High Tech Investors LLC,Company,https://wgnradio.com/lisa-dent/howard-tullman-on-why-you-shouldnt-gamble-on-tech-security/::c0000,3082,2023-09-26,Howard Tullman general managing partner for ... Chicago High Tech Investors LLC,0.95
Jakub Žalio,Person,WORKED_AT,Übank,Company,https://financialit.net/news/people-moves/creditinfo-hires-jakub-zalio-director-global-technology-and-solutions::c0000,3110,2023-02-23,Žalio joins from Übank the leading digital bank,0.95
Jakub Žalio,Person,WORKED_AT,Creditinfo Group,Company,https://financialit.net/news/people-moves/creditinfo-hires-jakub-zalio-director-global-technology-and-solutions::c0000,3110,2023-02-23,Creditinfo Group ... announces the appointment of Jakub Žalio as its new Director of Global Technology and Solutions,0.95
IBM Corp. AS/400,Technology,USES,SQL Server,Technology,https://siliconangle.com/2023/01/16/moving-supercloud-means-rethinking-data-management/::c0000,3117,2023-01-16,We also had a ton of internal SQL Server databases,0.7
When I Work,Company,LEADS,Kavitha Radhakrishnan,Person,https://www.tmcnet.com/channels/call-center-management/news/-when-work-continues-growth-with-expansion-new-c-/2023/09/13/9880502.htm::c0000,3123,2023-09-13,When I Work ... has appointed Kavitha Radhakrishnan as its new Chief Product Officer,1.0
When I Work,Company,LEADS,Paul Cowan,Person,https://www.tmcnet.com/channels/call-center-management/news/-when-work-continues-growth-with-expansion-new-c-/2023/09/13/9880502.htm::c0000,3123,2023-09-13,When I Work ... has appointed ... Paul Cowan as its new Chief Growth Officer,1.0
Dragos,Company,DEVELOPED,Dragos Partner Program,Technology,https://www.benzinga.com/pressreleases/23/06/b32832603/dragos-launches-ot-cyber-industrys-only-global-partner-program-to-span-technology-services-threat-::c0000,3139,2023-06-13,Dragos Launches OT Cyber Industry''s Only Global Partner Program,1.0
Ivy Tech Community College,Company,PARTNERED_WITH,Jobs for the Future,Company,https://www.tribstar.com/news/local_news/ivy-tech-partners-with-jobs-for-the-future-to-offer-google-certificates/article_67d87966-0004-11ee-be74-2f87e06dc3cf.html::c0000,3146,2023-06-04,Ivy Tech partners with Jobs for the Future,1.0
Tencent Cloud Blockchain RPC,Technology,DEVELOPED,Tencent Cloud,Company,https://technews.tmcnet.com/news/2023/09/12/9878690.htm::c0000,3169,2023-09-12,Tencent Cloud today announced the launch of its first Web3-native product Tencent Cloud Blockchain RPC,1.0
Tencent Cloud Blockchain RPC,Technology,DEVELOPED,Ankr,Company,https://technews.tmcnet.com/news/2023/09/12/9878690.htm::c0000,3169,2023-09-12,Jointly developed with Ankr this new offering aims to deliver reliable Web3 infrastructure,1.0
Tencent Cloud,Company,PARTNERED_WITH,Ankr,Company,https://technews.tmcnet.com/news/2023/09/12/9878690.htm::c0000,3169,2023-09-12,Jointly developed with Ankr,1.0
Sandeep Shah,Person,LEADS,Technology and war have to evolve together to ensure sustainability,Technology,https://www.msn.com/en-in/money/news/exclusive-interview-technology-and-war-have-to-evolve-together-to-ensure-sustainability-says-sandeep-shah/ar-AA17ptpj::c0000,3274,2023-02-13,Technology and war have to evolve together to ensure sustainability says Sandeep Shah,0.9
HPE,Company,USES,large language models,Technology,https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/::c0000,3289,2023-06-21,HPE said the company will use HPE's experience in supercomputers to offer a service specifically for what are called large language models,1.0
SA,Company,USES,Oceans and Coastal Information System (OCIMS),Technology,https://www.engineeringnews.co.za/article/how-sa-is-using-spatial-data-technology-for-coastal-and-oceans-monitoring-2022-11-25::c0000,3300,2022-11-24,How SA is using spatial data technology for coastal and oceans monitoring. developed and implemented the Oceans and Coastal Information System (OCIMS),0.95
Information Services Group,Company,DEVELOPED,ISG Provider Lens AWS,Technology,https://www.finanznachrichten.de/nachrichten-2023-02/58212558-information-services-group-inc-rise-of-public-clouds-in-france-lifts-aws-adoption-004.htm::c0000,3306,2023-07-24,The 2022 ISG Provider Lens AWS,0.9
IBM,Company,USES,artificial intelligence,Technology,https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV::c0000,3330,2023-09-12,IBM Adobe Salesforce and five more tech companies' use of artificial intelligence,0.9
Adobe,Company,USES,artificial intelligence,Technology,https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV::c0000,3330,2023-09-12,IBM Adobe Salesforce and five more tech companies' use of artificial intelligence,0.9
Salesforce,Company,USES,artificial intelligence,Technology,https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV::c0000,3330,2023-09-12,IBM Adobe Salesforce and five more tech companies' use of artificial intelligence,0.9
WT Micro,Company,ACQUIRED,Future Electronics,Company,https://www.digitimes.com/news/a20230914PD215/wt-microelectronics-future-electronics-acquisition-ic-distribution.html::c0000,3335,2023-09-15,WT Micro to acquire Future Electronics for US$3.8 billion,1.0
WiseTech Global,Company,ACQUIRED,Blume Global,Company,https://www.freightwaves.com/news/wisetech-acquires-blume-global::c0000,3352,2023-02-18,WiseTech Global ... has acquired privately held Blume Global,1.0
WiseTech Global,Company,DEVELOPED,CargoWise,Technology,https://www.freightwaves.com/news/wisetech-acquires-blume-global::c0000,3352,2023-02-18,WiseTech Global an Australia-based developer of the logistics execution software CargoWise,0.95
Amazon’s cloud unit,Company,PARTNERED_WITH,Hugging Face,Company,https://www.seattletimes.com/business/amazons-cloud-unit-partners-with-hugging-face-maker-of-chatgpt-rival/?n=%5CL::c0000,3373,2023-02-21,Amazon’s cloud unit partners with Hugging Face,1.0
Google,Company,DEVELOPED,artificial intelligence,Technology,https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai::c0000,3380,2023-07-21,Seven tech companies including Google Meta and OpenAI have voluntarily made commitments on developing and managing artificial intelligence,0.9
Meta,Company,DEVELOPED,artificial intelligence,Technology,https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai::c0000,3380,2023-07-21,Seven tech companies including Google Meta and OpenAI have voluntarily made commitments on developing and managing artificial intelligence,0.9
OpenAI,Company,DEVELOPED,artificial intelligence,Technology,https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai::c0000,3380,2023-07-21,Seven tech companies including Google Meta and OpenAI have voluntarily made commitments on developing and managing artificial intelligence,0.9
Google,Company,DEVELOPED,data centers,Technology,https://www.mariettatimes.com/opinion/editorials/2023/05/it-is-time-to-plan-ahead-for-tech-development/::c0000,3400,2023-05-08,Google announces plans to build two more data centers in Columbus and Lancaster,0.8
Facebook,Company,DEVELOPED,data centers,Technology,https://www.mariettatimes.com/opinion/editorials/2023/05/it-is-time-to-plan-ahead-for-tech-development/::c0000,3400,2023-05-08,That region is already home to data centers for Facebook and Amazon,0.8
Amazon,Company,DEVELOPED,data centers,Technology,https://www.mariettatimes.com/opinion/editorials/2023/05/it-is-time-to-plan-ahead-for-tech-development/::c0000,3400,2023-05-08,That region is already home to data centers for Facebook and Amazon,0.8
UJET,Company,PARTNERED_WITH,Google Cloud,Company,https://www.tmcnet.com/channels/call-center-management/news/-ujet-wins-google-cloud-technology-partner-the-year-/2023/08/29/9871864.htm::c0000,3402,2023-08-29,UJET announced a relationship with Google Cloud as a strategic technology partner,0.95
UJET,Company,USES,Contact Center AI Platform (CCAI),Technology,https://www.tmcnet.com/channels/call-center-management/news/-ujet-wins-google-cloud-technology-partner-the-year-/2023/08/29/9871864.htm::c0000,3402,2023-08-29,UJET announced a relationship with Google Cloud as a strategic technology partner to support Google Cloud in extending the CCAI portfolio,0.9
LinkedIn,Company,USES,MSFT,Company,https://www.msn.com/en-us/money/other/tech-exodus-from-silicon-valley-to-main-street/ar-AA1ciHZd::c0000,3409,2023-06-08,According to LinkedIn (MSFT) data from 2023,0.8
City of Franklin,Company,USES,Cloudpermit,Technology,https://www.thederrick.com/news/community_news/franklin-rolls-out-new-cloudpermit-software/article_265b7520-532d-11ee-a960-8f8488cb9b65.html::c0000,3427,2023-09-15,Property owners developers and contractors can now apply for their permits online by using a cloud-based software called Cloudpermit.,0.95
Nvidia,Company,USES,chips,Technology,https://www.reuters.com/technology/nvidia-forecasts-first-quarter-revenue-above-expectations-2023-02-22/::c0000,3432,2023-02-22,its CEO said use of its chips to power artificial intelligence (AI) services like chatbots,0.9
CTI,Company,ACQUIRED,Rapid Imaging,Company,https://www.pehub.com/bluestone-backed-cti-buys-defense-software-provider-rapid-imaging/::c0000,3440,2023-04-21,CTI buys defense software provider Rapid Imaging,0.95
Mercy Corps,Company,PARTNERED_WITH,Cisco,Company,https://www.mercycorps.org/blog/technology-for-change-cisco-partnership::c0000,3450,2023-02-07,Mercy Corps and Cisco’s partnership,0.95
Ashwini Vaishnaw,Person,WORKED_AT,Minister of Railways Communications and Electronics & IT,Company,https://indianexpress.com/article/opinion/columns/minister-of-railways-communications-and-electronics-it-ashwini-vaishnaw-writes-technology-at-your-service-8520448/::c0000,3512,2023-03-29,Minister of Railways Communications and Electronics & IT Ashwini Vaishnaw writes,0.9
Aadhaar Enabled Payment System (AePS),Technology,USES,India Post,Company,https://indianexpress.com/article/opinion/columns/minister-of-railways-communications-and-electronics-it-ashwini-vaishnaw-writes-technology-at-your-service-8520448/::c0000,3512,2023-03-29,The Gramin Dak Sevaks of India Post provided financial service assistance at doorsteps using the Aadhaar Enabled Payment System (AePS),0.95
