community_id,size,hubs,dominant_relations,report
135,2,Climate X | Andrew Ellam,LEADS,"Community 135 contains 2 entities. Main hubs: Climate X, Andrew Ellam. Dominant relation types: LEADS."
133,2,Christopher Kirchner | Slync,LEADS | FOUNDED,"Community 133 contains 2 entities. Main hubs: Christopher Kirchner, Slync. Dominant relation types: LEADS, FOUNDED."
132,2,Chris Barber | eastern regional team,LEADS,"Community 132 contains 2 entities. Main hubs: Chris Barber, eastern regional team. Dominant relation types: LEADS."
143,2,Northwest Indiana Forum | Heather Ennis,LEADS,"Community 143 contains 2 entities. Main hubs: Northwest Indiana Forum, Heather Ennis. Dominant relation types: LEADS."
144,2,Andrew Drach | Solwey Consulting,FOUNDED,"Community 144 contains 2 entities. Main hubs: Andrew Drach, Solwey Consulting. Dominant relation types: FOUNDED."
141,2,AI at Microsoft | Daragh Morrisey,LEADS,"Community 141 contains 2 entities. Main hubs: AI at Microsoft, Daragh Morrisey. Dominant relation types: LEADS."
142,2,Tech Stocks | Cathie Wood,LEADS,"Community 142 contains 2 entities. Main hubs: Tech Stocks, Cathie Wood. Dominant relation types: LEADS."
140,2,Zamit | Aarul Malviya,FOUNDED,"Community 140 contains 2 entities. Main hubs: Zamit, Aarul Malviya. Dominant relation types: FOUNDED."
139,2,S. Steven Salar | Exdion Solutions,LEADS,"Community 139 contains 2 entities. Main hubs: S. Steven Salar, Exdion Solutions. Dominant relation types: LEADS."
150,2,Eva Navarro López | School of Information,LEADS,"Community 150 contains 2 entities. Main hubs: Eva Navarro López, School of Information. Dominant relation types: LEADS."
147,2,Sandeep Shah | Technology and war have to evolve together to ensure sustainability,LEADS,"Community 147 contains 2 entities. Main hubs: Sandeep Shah, Technology and war have to evolve together to ensure sustainability. Dominant relation types: LEADS."
153,2,International Space Station | Woody Hoburg,WORKED_AT,"Community 153 contains 2 entities. Main hubs: International Space Station, Woody Hoburg. Dominant relation types: WORKED_AT."
151,2,Sumayya Shaheen | 10Pearls,WORKED_AT,"Community 151 contains 2 entities. Main hubs: Sumayya Shaheen, 10Pearls. Dominant relation types: WORKED_AT."
148,2,Ashwini Vaishnaw | Minister of Railways Communications and Electronics & IT,WORKED_AT,"Community 148 contains 2 entities. Main hubs: Ashwini Vaishnaw, Minister of Railways Communications and Electronics & IT. Dominant relation types: WORKED_AT."
156,2,bitcoin | ChipMixer,USES,"Community 156 contains 2 entities. Main hubs: bitcoin, ChipMixer. Dominant relation types: USES."
155,2,5G Home Internet | Ultra Wideband 5G technology,USES,"Community 155 contains 2 entities. Main hubs: 5G Home Internet, Ultra Wideband 5G technology. Dominant relation types: USES."
159,2,IBM Corp. AS/400 | SQL Server,USES,"Community 159 contains 2 entities. Main hubs: IBM Corp. AS/400, SQL Server. Dominant relation types: USES."
160,2,Aadhaar Enabled Payment System (AePS) | India Post,USES,"Community 160 contains 2 entities. Main hubs: Aadhaar Enabled Payment System (AePS), India Post. Dominant relation types: USES."
162,2,applications and services | Information Management Technology,USES,"Community 162 contains 2 entities. Main hubs: applications and services, Information Management Technology. Dominant relation types: USES."
